argout,psim-q,runp2p_deadlock,retime-local,split-thread,constprop,VPMU-split,OPS-All,PCU_Total,DAG,mapping,simfreq,succeeded,runp2p_rbw,retime-glob,open,VMC-split,genpir_err,algo,link-prop,mergeTime_ms,PMU_Total,vec,runproute_time,VDAG-split,VPCU-split,pracc,runp2p_pass,pattern,reserve-pmu,MC,OPS-Prog FU,VDAG-alloc,dupra,split,debug,save,pmu-stage,OPS-FU,VBB-alloc,maketst_time,debug-print,gentst_time,psim,proute-q,VAFG-split,mdone,spatial_sha,split-algo,genpir,split-forward,vlink,merge,nn,flit-width,notFit,PCU,PMU,dag,OPS-Other,runhybrid_cycle,vfifo,run-proute,maketst_err,fifo-depth,avgActive,gentst_err,runhybrid_time,VPMU,rtelm,DAG_Total,arch,fast,memelm,VBB-split,share-adctx,waveform,reserve-dag,runhybrid_pass,VAFG-alloc,codegen,MC_Total,pirArgs,runp2p_complete,module,igraph,ag-dce,app,sr,runhybrid_wbw,stat,pmu-sram-size,rundot,routing-cost,vc,runp2p_dram_power,net,dot,time-out,argin,runhybrid_dram_power,runproute_err,pcu-stage,runhybrid_deadlock,runhybrid_success,run-psim,proute-opts,runhybrid_err,load,run-tst,backend,VBB,scheduled,trace,start-id,simulate,reserve-pcu,rtanal,verbose,dag-stage,merge-forward,VDAG,merge-algo,runp2p_err,pir_sha,tungsten,proute-algo,topo,time,OPS-Fix,row,lrange,name,mem-tech,VPMU-alloc,word,bcread,col,dedicated-dag,clock,prtime,rtelm-unsafe,runp2p_time,vcLimit,runhybrid_complete,runp2p_wbw,proute-seed,maxActive,retime-exout,VAFG,tokenout,runhybrid_rbw,runp2p_cycle,VPCU,VMC-alloc,VPCU-alloc,VMC,routing-algo,vdot,freq,project,runp2p_success,slink,retime-buffer-only,OPS-Flt
4,1,False,False,1,True,2,,200,3,True,0.02kHz,True,0.0,False,False,1,,route_min_directed_valient,db,,200,16,,0,4,True,True,checkerboard,0,1,,0,False,True,True,True,6,,,0:31.26,True,22.197978033,False,4,1,True,0b828f44,dfs,True,False,2,False,False,512,,2,2,True,,,4,False,,16,14.003944773175544,,,2,True,40,MyDesign,True,False,,False,True,0,,1,True,40,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",True,False,False,True,BankEnable_0,True,,True,65536,True,H-hop,4,,hybrid,True,100,6,,,6,False,False,False,-i100 -p100 -t1 -d100,,False,False,Tst,,False,False,0,False,0,True,False,6,False,0,bfs,,0907bc77,True,route_min_directed_valient,mesh,2020-03-26 18:29:56 -0700,,20,True,AccelMain,DDR4,2,32,True,20,False,1000000000,,False,0:04.21,4,False,1.64103,0,41.02564102564103,False,1,5,,78,4,1,4,1,dor,True,1000000000.0,pirTest,True,4,False,
4,1,False,False,1,True,6,,200,10,True,0.04kHz,True,0.0,False,False,1,,route_min_directed_valient,db,,200,16,,0,25,True,,checkerboard,0,1,,0,False,True,True,True,6,,,1:38.84,True,63.547082597,False,4,1,True,0b828f44,dfs,True,False,2,False,False,512,,15,6,True,,,4,False,,16,10.058403634003893,,,6,True,40,MyDesign,True,False,,False,True,0,,1,True,40,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",True,False,False,True,BankRange_0,True,,True,65536,True,H-hop,4,,hybrid,True,100,6,,,6,False,False,False,-i100 -p100 -t1 -d100,,False,False,Tst,,False,False,0,False,0,True,False,6,False,0,bfs,,0907bc77,True,route_min_directed_valient,mesh,2020-03-26 18:29:56 -0700,,20,True,AccelMain,DDR4,6,32,True,20,False,1000000000,,False,0:02.99,4,False,0.955224,0,11.940298507462687,False,1,5,,134,25,1,13,1,dor,True,1000000000.0,pirTest,True,4,False,
4,1,False,False,1,True,6,,200,8,True,0.26kHz,True,24.4962,False,False,7,,route_min_directed_valient,db,,200,16,,0,42,True,True,checkerboard,0,7,,0,False,True,True,True,6,,,2:08.72,True,85.111281671,False,4,1,True,0b828f44,bfs,True,False,2,False,False,512,,33,7,True,,,4,False,,16,5.001922005511873,,,6,True,40,MyDesign,True,False,,False,True,0,,1,True,40,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --split-algo=bfs, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",True,False,False,True,BlackScholes_0,True,,True,65536,True,H-hop,4,,hybrid,True,100,6,,,6,False,False,False,-i100 -p100 -t1 -d100,,False,False,Tst,,False,False,0,False,0,True,False,6,False,0,bfs,,0907bc77,True,route_min_directed_valient,mesh,2020-03-26 18:29:56 -0700,,20,True,AccelMain,DDR4,6,32,True,20,False,1000000000,,False,8:08.09,4,False,4.0827,0,6.379217704821013,False,1,5,,128417,42,7,10,7,dor,True,1000000000.0,pirTest,True,4,False,
4,1,False,False,1,True,,,200,0,True,0.03kHz,True,0.0,False,False,,,route_min_directed_valient,db,,200,16,,0,1,True,True,checkerboard,0,0,,0,False,True,True,True,6,,,0:12.22,True,13.866292061,False,4,1,True,0b828f44,dfs,True,False,2,False,False,512,,0,1,True,,,4,False,,16,5.363984674329502,,,,True,40,MyDesign,True,False,,False,True,0,,1,True,40,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",True,False,False,True,BreakTest,True,,True,65536,True,H-hop,4,,hybrid,True,100,6,,,6,False,False,False,-i100 -p100 -t1 -d100,,False,False,Tst,,False,False,0,False,0,True,False,6,False,0,bfs,,0907bc77,True,route_min_directed_valient,mesh,2020-03-26 18:29:56 -0700,,20,True,AccelMain,DDR4,,32,True,20,False,1000000000,,False,0:02.68,4,False,0.0,0,13.793103448275861,False,1,5,,87,1,,1,,dor,True,1000000000.0,pirTest,True,4,False,
4,1,False,False,1,True,,,200,0,True,0.02kHz,True,0.0,False,False,,,route_min_directed_valient,db,,200,16,,0,2,True,True,checkerboard,0,0,,0,False,True,True,True,6,,,0:13.47,True,14.583071385,False,4,1,True,0b828f44,dfs,True,False,2,False,False,512,,0,2,True,,,4,False,,16,23.91304347826087,,,,True,40,MyDesign,True,False,,False,True,0,,1,True,40,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",True,False,False,True,BreakTest2,True,,True,65536,True,H-hop,4,,hybrid,True,100,6,,,6,False,False,False,-i100 -p100 -t1 -d100,,False,False,Tst,,False,False,0,False,0,True,False,6,False,0,bfs,,0907bc77,True,route_min_directed_valient,mesh,2020-03-26 18:29:56 -0700,,20,True,AccelMain,DDR4,,32,True,20,False,1000000000,,False,0:01.37,4,False,0.0,0,43.47826086956522,False,1,5,,23,2,,2,,dor,True,1000000000.0,pirTest,True,4,False,
4,1,False,False,1,True,2,,200,3,True,0.1kHz,True,0.472325,False,False,2,,route_min_directed_valient,db,,200,16,,0,12,True,True,checkerboard,0,2,,0,False,True,True,True,6,,,0:30.21,True,29.000646831,False,4,1,True,0b828f44,dfs,True,False,2,False,False,512,,9,2,True,,,4,False,,16,20.647433747064742,,,2,True,40,MyDesign,True,False,,False,True,0,,1,True,40,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",True,False,False,True,BroadcastTest,True,,True,65536,True,H-hop,4,,hybrid,True,100,6,,,6,False,False,False,-i100 -p100 -t1 -d100,,False,False,Tst,,False,False,0,False,0,True,False,6,False,0,bfs,,0907bc77,True,route_min_directed_valient,mesh,2020-03-26 18:29:56 -0700,,20,True,AccelMain,DDR4,2,32,True,20,False,1000000000,,False,0:02.81,4,False,15.1144,0,47.23247232472325,False,1,5,,271,12,2,6,2,dor,True,1000000000.0,pirTest,True,4,False,
4,1,False,False,1,True,2,,200,0,True,0.04kHz,True,0.447552,False,False,1,,route_min_directed_valient,db,,200,16,,0,5,True,True,checkerboard,0,1,,0,False,True,True,True,6,,,0:38.66,True,31.015576562,False,4,1,True,0b828f44,dfs,True,False,2,False,False,512,,5,2,True,,,4,False,,16,21.10616656071202,,,2,True,40,MyDesign,True,False,,False,True,0,,1,True,40,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",True,False,False,True,CountZero_0,True,,True,65536,True,H-hop,4,,hybrid,True,100,6,,,6,False,False,False,-i100 -p100 -t1 -d100,,False,False,Tst,,False,False,0,False,0,True,False,6,False,0,bfs,,0907bc77,True,route_min_directed_valient,mesh,2020-03-26 18:29:56 -0700,,20,True,AccelMain,DDR4,2,32,True,20,False,1000000000,,False,0:03.41,4,False,1.34266,0,33.56643356643357,False,1,5,,143,5,1,4,1,dor,True,1000000000.0,pirTest,True,4,False,
4,1,False,False,1,True,1,,200,2,True,,False,,False,False,1,,route_min_directed_valient,db,,200,16,,0,3,True,,checkerboard,0,1,,0,False,True,True,True,6,,,0:09.72,True,18.82830633,False,4,1,True,0b828f44,dfs,True,False,2,False,False,512,,1,1,True,,,4,False,"src//Top.h:71:3: error: ‘DecompressAG’ does not name a type
",16,,,,1,True,40,MyDesign,True,False,,False,True,0,,1,True,40,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",False,False,False,True,DRAMCompression,True,,True,65536,True,H-hop,4,,hybrid,True,100,6,,,6,False,False,False,-i100 -p100 -t1 -d100,,False,False,Tst,,False,False,0,False,0,True,False,6,False,0,bfs,,0907bc77,True,route_min_directed_valient,mesh,2020-03-26 18:29:56 -0700,,20,True,AccelMain,DDR4,1,32,True,20,False,1000000000,,False,,4,False,,0,,False,1,5,,,3,1,3,1,dor,True,1000000000.0,pirTest,False,4,False,
4,1,False,False,1,True,,,200,0,True,0.39kHz,True,1.10108,False,False,2,,route_min_directed_valient,db,,200,16,,0,7,True,True,checkerboard,0,2,,0,False,True,True,True,6,,,0:24.90,True,20.68268998,False,4,1,True,0b828f44,dfs,True,False,2,False,False,512,,0,7,True,,,4,False,,16,7.096774193548387,,,,True,40,MyDesign,True,False,,False,True,0,,1,True,40,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",True,False,False,True,DRAMDoubleBuffer2_0,True,,True,65536,True,H-hop,4,,hybrid,True,100,6,,,6,False,False,False,-i100 -p100 -t1 -d100,,False,False,Tst,,False,False,0,False,0,True,False,6,False,0,bfs,,0907bc77,True,route_min_directed_valient,mesh,2020-03-26 18:29:56 -0700,,20,True,AccelMain,DDR4,,32,True,20,False,1000000000,,False,0:02.41,4,False,1.10108,0,27.526881720430108,False,1,5,,930,7,2,7,2,dor,True,1000000000.0,pirTest,True,4,False,
4,1,False,False,1,True,,,200,0,True,0.23kHz,True,1.10108,False,False,2,,route_min_directed_valient,db,,200,16,,0,7,True,True,checkerboard,0,2,,0,False,True,True,True,6,,,0:39.50,True,30.37924518,False,4,1,True,0b828f44,dfs,True,False,2,False,False,512,,0,7,True,,,4,False,,16,7.096774193548387,,,,True,40,MyDesign,True,False,,False,True,0,,1,True,40,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",True,False,False,True,DRAMDoubleBuffer2_1,True,,True,65536,True,H-hop,4,,hybrid,True,100,6,,,6,False,False,False,-i100 -p100 -t1 -d100,,False,False,Tst,,False,False,0,False,0,True,False,6,False,0,bfs,,0907bc77,True,route_min_directed_valient,mesh,2020-03-26 18:29:56 -0700,,20,True,AccelMain,DDR4,,32,True,20,False,1000000000,,False,0:04.07,4,False,1.10108,0,27.526881720430108,False,1,5,,930,7,2,7,2,dor,True,1000000000.0,pirTest,True,4,False,
