OPS-All,vec,run-tst,OPS-FU,runp2p_success,runhybrid_err,project,VPMU-split,run-psim,VMC-split,maketst_time,genpir,debug-print,verbose,VPCU,runp2p_deadlock,pcu-stage,sr,row,waveform,psim-q,avgActive,memelm,mem-tech,VPMU-alloc,rtanal,split-forward,runp2p_pass,split-algo,mdone,simfreq,mergeTime_ms,codegen,dag,runhybrid_complete,runhybrid_dram_power,rtelm-unsafe,genpir_err,PMU,run-proute,vdot,merge-forward,PCU,rundot,vfifo,vc,DAG_Total,dag-stage,stat,runhybrid_deadlock,col,VAFG-alloc,tungsten,runhybrid_success,proute-q,runp2p_rbw,runp2p_err,retime-glob,split,retime-exout,mapping,plastiroute_sha,module,link-prop,routing-algo,VPCU-alloc,algo,runhybrid_wbw,dot-argin,bcread,pirArgs,constprop,VDAG,fast,retime-buffer-only,dedicated-dag,word,proute-seed,pmu-stage,lrange,VPMU,igraph,runhybrid_pass,ag-dce,split-thread,notFit,runp2p_complete,vcLimit,pmu-sram-size,topo,backend,debug,net,time,VPCU-split,proute-algo,proute-opts,PCU_Total,retime-local,OPS-Flt,psim,runhybrid_cycle,arch,PMU_Total,runproute_err,succeeded,flit-width,tungsten_sha,load,start-id,clock,pir_sha,maketst_err,prtime,runhybrid_time,scheduled,open,DAG,fifo-depth,share-adctx,VDAG-alloc,runp2p_wbw,reserve-mc,OPS-Other,gentst_err,spatial_sha,reserve-pmu,maxActive,save,VAFG-split,slink,tokenout,MC,add-row,OPS-Fix,merge-algo,argout,name,nn,gentst_time,merge,runp2p_dram_power,runproute_time,runp2p_time,runp2p_cycle,MC_Total,VDAG-split,OPS-Prog FU,reserve-pcu,app,dupra,time-out,reserve-dag,trace,pracc,VAFG,VMC-alloc,dot,VMC,argin,simulate,freq,routing-cost,vlink,rtelm,pattern,runhybrid_rbw
,16,False,,False,,pirTest,,False,,0:08.02,True,True,False,2,True,6,True,20,True,1,0.173841059602649,False,DDR4,,True,False,True,dfs,True,5.12kHz,,True,True,False,,False,,2,False,True,False,0,True,4,4,0,6,True,False,20,1,True,False,4,0.0,"Assertion fail:
",False,True,False,True,88a079d,False,db,dor,2,route_min_directed_valient,,False,True,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial",True,0,False,False,False,32,0,6,True,,False,,True,1,,False,4,65536,mesh,Tst,True,hybrid,2020-05-05 00:01:13 -0700,2,route_min_directed_valient,-i100 -p100 -t1 -d100,0,False,,False,,MyDesign,0,,False,512,8fc7f5a,False,0,1000000000,d4ea004b,,,,False,False,0,16,False,0,0.0,0,,,4e343530,0,0.33112582781456956,True,1,4,5,0,0,,bfs,4,AccelMain,False,13.847074563,False,,,0:00.59,3020,0,0,,0,BreakTest2,False,100,0,False,True,1,,True,,6,False,1000000000.0,H-hop,2,True,checkerboard,
,16,False,,True,,pirTest,2,False,2,0:15.28,True,True,False,12,False,6,True,20,True,1,19.842037395228882,False,DDR4,2,True,False,True,dfs,True,0.76kHz,,True,True,False,,False,,2,False,True,False,9,True,4,4,0,6,True,False,20,1,True,False,4,0.453901,,False,True,False,True,88a079d,False,db,dor,6,route_min_directed_valient,,False,True,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial",True,0,False,False,False,32,0,6,True,2,False,,True,1,,True,4,65536,mesh,Tst,True,hybrid,2020-05-05 00:01:13 -0700,12,route_min_directed_valient,-i100 -p100 -t1 -d100,0,False,,False,,MyDesign,0,,True,512,8fc7f5a,False,0,1000000000,d4ea004b,,,,False,False,3,16,False,0,14.5248,0,,,4e343530,0,45.39007092198582,True,1,4,5,2,0,,bfs,4,AccelMain,False,35.724622723,False,,,0:00.37,282,0,0,,0,BroadcastTest,False,100,0,False,True,1,2,True,2,6,False,1000000000.0,H-hop,2,True,checkerboard,
,16,False,,True,,pirTest,1,False,2,0:11.01,True,True,False,4,False,6,True,20,True,1,26.715686274509807,False,DDR4,1,True,False,,dfs,True,0.19kHz,,True,True,False,,False,,1,False,True,False,1,True,4,4,0,6,True,False,20,1,True,False,4,0.0,,False,True,False,True,88a079d,False,db,dor,4,route_min_directed_valient,,False,True,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial",True,0,False,False,False,32,0,6,True,1,False,,True,1,,True,4,65536,mesh,Tst,True,hybrid,2020-05-05 00:01:13 -0700,4,route_min_directed_valient,-i100 -p100 -t1 -d100,0,False,,False,,MyDesign,0,,True,512,8fc7f5a,False,0,1000000000,d4ea004b,,,,False,False,3,16,False,0,0.0,0,,,4e343530,0,100.0,True,1,4,5,2,0,,bfs,4,AccelMain,False,18.229749092,False,,,0:00.35,68,0,0,,0,DNNTest,False,100,0,False,True,1,2,True,2,6,False,1000000000.0,H-hop,2,True,checkerboard,
,16,False,,False,,pirTest,1,False,1,0:10.40,True,True,False,3,True,6,True,20,True,1,0.36197483978162837,False,DDR4,1,True,False,True,dfs,True,5.19kHz,,True,True,False,,False,,1,False,True,False,1,True,4,4,0,6,True,False,20,1,True,False,4,0.0208877,"Assertion fail:
",False,True,False,True,88a079d,False,db,dor,3,route_min_directed_valient,,False,True,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial",True,0,False,False,False,32,0,6,True,1,False,,True,1,,False,4,65536,mesh,Tst,True,hybrid,2020-05-05 00:01:13 -0700,3,route_min_directed_valient,-i100 -p100 -t1 -d100,0,False,,False,,MyDesign,0,,False,512,8fc7f5a,False,0,1000000000,d4ea004b,,,,False,False,2,16,False,0,0.0,0,,,4e343530,0,0.9138381201044387,True,1,4,5,1,0,,bfs,4,AccelMain,False,18.780908953,False,,,0:00.59,3064,0,0,,0,DRAMCompression,False,100,0,False,True,1,1,True,1,6,False,1000000000.0,H-hop,2,True,checkerboard,
,,,,False,,pirTest,,,,,True,,,,False,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,False,,,,False,,,,,,,,88a079d,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,Tst,,,2020-05-05 00:01:13 -0700,,,,,,,,,,,,False,,8fc7f5a,,,,d4ea004b,,,,,,,,,,,,,,4e343530,,,,,,,,,,,,,,,,,,,,,,,,DRAMMergeSort_3,,,,,,,,,,,,1000000000.0,,,,,
,,,,False,,pirTest,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,False,,,,False,,,,,,,,88a079d,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,Tst,,,2020-05-05 00:01:13 -0700,,,,,,,,,,,,False,,8fc7f5a,,,,d4ea004b,,,,,,,,,,,,,,4e343530,,,,,,,,,,,,,,,,,,,,,,,,DRAMMergeSort_4,,,,,,,,,,,,1000000000.0,,,,,
,16,False,,False,,pirTest,,False,,0:08.38,True,True,False,2,True,6,True,20,True,1,0.173841059602649,False,DDR4,,True,False,True,dfs,True,4.72kHz,,True,True,False,,False,,2,False,True,False,0,True,4,4,0,6,True,False,20,1,True,False,4,0.0,"Assertion fail:
",False,True,False,True,88a079d,False,db,dor,2,route_min_directed_valient,,False,True,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial",True,0,False,False,False,32,0,6,True,,False,,True,1,,False,4,65536,mesh,Tst,True,hybrid,2020-05-05 00:01:13 -0700,2,route_min_directed_valient,-i100 -p100 -t1 -d100,0,False,,False,,MyDesign,0,,False,512,8fc7f5a,False,0,1000000000,d4ea004b,,,,False,False,0,16,False,0,0.0,0,,,4e343530,0,0.33112582781456956,True,1,4,5,0,0,,bfs,4,AccelMain,False,13.902578531,False,,,0:00.64,3020,0,0,,0,Deadlock,False,100,0,False,True,1,,True,,6,False,1000000000.0,H-hop,2,True,checkerboard,
,16,False,,False,,pirTest,,False,,0:08.94,True,True,False,3,True,6,True,20,True,1,0.25810721376571805,False,DDR4,,True,False,True,dfs,True,5.3kHz,,True,True,False,,False,,3,False,True,False,0,True,4,4,0,6,True,False,20,1,True,False,4,0.0,"Assertion fail:
",False,True,False,True,88a079d,False,db,dor,3,route_min_directed_valient,,False,True,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial",True,0,False,False,False,32,0,6,True,,False,,True,1,,False,4,65536,mesh,Tst,True,hybrid,2020-05-05 00:01:13 -0700,3,route_min_directed_valient,-i100 -p100 -t1 -d100,0,False,,False,,MyDesign,0,,False,512,8fc7f5a,False,0,1000000000,d4ea004b,,,,False,False,0,16,False,0,0.0,0,,,4e343530,0,0.6618133686300464,True,1,4,5,0,0,,bfs,4,AccelMain,False,14.073921695,False,,,0:00.57,3022,0,0,,0,Deadlock2,False,100,0,False,True,1,,True,,6,False,1000000000.0,H-hop,2,True,checkerboard,
,16,False,,True,,pirTest,2,False,2,0:11.31,True,True,False,4,False,6,True,20,True,1,22.66081871345029,False,DDR4,2,True,False,True,dfs,True,0.47kHz,,True,True,False,,False,,2,False,True,False,1,True,4,4,0,6,True,False,20,1,True,False,4,36.0881,,False,True,False,True,88a079d,False,db,dor,4,route_min_directed_valient,,False,True,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/spatial",True,0,False,False,False,32,0,6,True,2,False,,True,1,,True,4,65536,mesh,Tst,True,hybrid,2020-05-05 00:01:13 -0700,4,route_min_directed_valient,-i100 -p100 -t1 -d100,0,False,,False,,MyDesign,0,,True,512,8fc7f5a,False,0,1000000000,d4ea004b,,,,False,False,3,16,False,0,0.0,0,,,4e343530,0,28.07017543859649,True,1,4,5,2,0,,bfs,4,AccelMain,False,26.240654104,False,,,0:00.48,227,0,0,,0,DotProduct_0,False,100,0,False,True,1,2,True,2,6,False,1000000000.0,H-hop,2,True,checkerboard,
,,,,False,,pirTest,,,,,True,,,,False,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,False,,,,False,,,,,,,,88a079d,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,Tst,,,2020-05-05 00:01:13 -0700,,,,,,,,,,,,False,,8fc7f5a,,,,d4ea004b,,,,,,,,,,,,,,4e343530,,,,,,,,,,,,,,,,,,,,,,,,DotProduct_4,,,,,,,,,,,,1000000000.0,,,,,
