project,VAFG,VPCU-split,igraph,dag-stage,retime-buffer-only,psim,proute-q,pracc,VPCU,dot,lrange,VAFG-split,PCU,proute-algo,rtanal,PMU,tungsten,open,ag-dce,VPMU-alloc,runp2p_time,simulate,debug,runp2p_deadlock,runhybrid_pass,load,maketst_err,split-algo,save,runp2p_cycle,runhybrid_cycle,arch,split,slink,spatial_sha,VMC,topo,stat,genpir,pcu-stage,runp2p_pass,DAG_Total,VAFG-alloc,runproute_time,row,mdone,runhybrid_err,vlink,notFit,merge,OPS-All,trace,avgActive,tokenout,runp2p_complete,fifo-depth,pmu-stage,VDAG-alloc,VBB-split,DAG,argin,VPMU-split,VDAG-split,runp2p_success,reserve-pcu,runhybrid_success,debug-print,word,VBB,nn,name,pmu-sram-size,VPCU-alloc,verbose,rundot,run-psim,PCU_Total,gentst_err,scheduled,OPS-FU,pattern,OPS-Fix,share-adctx,gentst_time,genpir_err,runp2p_dram_power,VMC-alloc,runhybrid_time,bcread,vc,OPS-Flt,net,module,OPS-Other,sr,col,simfreq,dupra,mergeTime_ms,vcLimit,fast,run-proute,runp2p_err,psim-q,run-tst,proute-opts,vec,MC_Total,flit-width,algo,link-prop,waveform,rtelm,routing-cost,codegen,VMC-split,runhybrid_deadlock,pirArgs,VBB-alloc,VDAG,merge-forward,runhybrid_dram_power,succeeded,routing-algo,maketst_time,MC,merge-algo,app,reserve-dag,proute-seed,start-id,freq,time,argout,dedicated-dag,vdot,clock,constprop,retime-local,pir_sha,reserve-pmu,runproute_err,PMU_Total,runhybrid_complete,time-out,memelm,VPMU,prtime,retime-glob,split-thread,split-forward,mem-tech,OPS-Prog FU,runp2p_wbw,runhybrid_rbw,rtelm-unsafe,backend,retime-exout,vfifo,runhybrid_wbw,maxActive,mapping,runp2p_rbw,dag
pirTest,1,4,False,6,False,False,4,True,4,True,True,1,2,route_min_directed_valient,True,2,True,False,True,2,0:00.24,False,True,False,,False,,dfs,True,78,,MyDesign,True,4,02cc5bc3,1,mesh,True,True,6,True,40,1,,20,True,,2,,False,,False,14.003944773175544,5,True,16,6,0,,3,6,2,0,True,0,False,True,32,,False,AccelMain,65536,4,False,True,False,200,,False,,checkerboard,,False,19.231012405,,,1,,True,4,,hybrid,False,,True,20,0.33kHz,False,,4,True,False,,1,False,-i100 -p100 -t1 -d100,16,40,512,route_min_directed_valient,db,True,True,H-hop,True,1,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",,0,False,,True,dor,0:21.91,1,bfs,BankEnable_0,0,0,0,1000000000.0,2020-04-01 21:15:33 -0700,4,False,True,1000000000,True,False,a7956b4a,0,,200,False,100,False,2,,False,1,False,DDR4,,1.64103,,False,Tst,False,4,,41.02564102564103,True,0.0,True
pirTest,1,25,False,6,False,False,4,True,25,True,True,1,15,route_min_directed_valient,True,6,True,False,True,6,0:01.61,False,True,False,,False,,dfs,True,134,,MyDesign,True,4,02cc5bc3,1,mesh,True,True,6,,40,1,,20,True,,2,,False,,False,10.058403634003893,5,True,16,6,0,,10,6,6,0,True,0,False,True,32,,False,AccelMain,65536,13,False,True,False,200,,False,,checkerboard,,False,64.998789651,,,1,,True,4,,hybrid,False,,True,20,0.08kHz,False,,4,True,False,,1,False,-i100 -p100 -t1 -d100,16,40,512,route_min_directed_valient,db,True,True,H-hop,True,1,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",,0,False,,True,dor,0:51.72,1,bfs,BankRange_0,0,0,0,1000000000.0,2020-04-01 21:15:33 -0700,4,False,True,1000000000,True,False,a7956b4a,0,,200,False,100,False,6,,False,1,False,DDR4,,0.955224,,False,Tst,False,4,,11.940298507462687,True,0.0,True
pirTest,1,41,False,6,False,False,4,True,41,True,True,1,32,route_min_directed_valient,True,7,True,False,True,6,5:13.64,False,True,False,,False,,bfs,True,112805,,MyDesign,True,4,02cc5bc3,7,mesh,True,True,6,True,40,1,,20,True,,2,,False,,False,5.6577155680259095,5,True,16,6,0,,8,6,6,0,True,0,False,True,32,,False,AccelMain,65536,10,False,True,False,200,,False,,checkerboard,,False,75.836629225,,,7,,True,4,,hybrid,False,,True,20,0.36kHz,False,,4,True,False,,1,False,-i100 -p100 -t1 -d100,16,40,512,route_min_directed_valient,db,True,True,H-hop,True,7,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --split-algo=bfs, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",,0,False,,True,dor,1:53.14,7,bfs,BlackScholes_0,0,0,0,1000000000.0,2020-04-01 21:15:33 -0700,4,False,True,1000000000,True,False,a7956b4a,0,,200,False,100,False,6,,False,1,False,DDR4,,4.64774,,False,Tst,False,4,,7.262089446389788,True,27.8864,True
pirTest,1,1,False,6,False,False,4,True,1,True,True,1,0,route_min_directed_valient,True,1,True,False,True,,0:00.50,False,True,False,,False,,dfs,True,87,,MyDesign,True,4,02cc5bc3,,mesh,True,True,6,True,40,1,,20,True,,2,,False,,False,5.363984674329502,5,True,16,6,0,,0,6,,0,True,0,False,True,32,,False,AccelMain,65536,1,False,True,False,200,,False,,checkerboard,,False,10.696875746,,,,,True,4,,hybrid,False,,True,20,0.17kHz,False,,4,True,False,,1,False,-i100 -p100 -t1 -d100,16,40,512,route_min_directed_valient,db,True,True,H-hop,True,,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",,0,False,,True,dor,0:14.92,0,bfs,BreakTest,0,0,0,1000000000.0,2020-04-01 21:15:33 -0700,4,False,True,1000000000,True,False,a7956b4a,0,,200,False,100,False,,,False,1,False,DDR4,,0.0,,False,Tst,False,4,,13.793103448275861,True,0.0,True
pirTest,1,2,False,6,False,False,4,True,2,True,True,1,0,route_min_directed_valient,True,2,True,False,True,,0:04.07,False,True,False,,False,,dfs,True,23,,MyDesign,True,4,02cc5bc3,,mesh,True,True,6,True,40,1,,20,True,,2,,False,,False,23.91304347826087,5,True,16,6,0,,0,6,,0,True,0,False,True,32,,False,AccelMain,65536,2,False,True,False,200,,False,,checkerboard,,False,16.864536804,,,,,True,4,,hybrid,False,,True,20,0.01kHz,False,,4,True,False,,1,False,-i100 -p100 -t1 -d100,16,40,512,route_min_directed_valient,db,True,True,H-hop,True,,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",,0,False,,True,dor,0:26.51,0,bfs,BreakTest2,0,0,0,1000000000.0,2020-04-01 21:15:33 -0700,4,False,True,1000000000,True,False,a7956b4a,0,,200,False,100,False,,,False,1,False,DDR4,,0.0,,False,Tst,False,4,,43.47826086956522,True,0.0,True
pirTest,1,12,False,6,False,False,4,True,12,True,True,1,9,route_min_directed_valient,True,2,True,False,True,2,0:01.19,False,True,False,,False,,dfs,True,271,,MyDesign,True,4,02cc5bc3,2,mesh,True,True,6,True,40,1,,20,True,,2,,False,,False,20.647433747064742,5,True,16,6,0,,3,6,2,0,True,0,False,True,32,,False,AccelMain,65536,6,False,True,False,200,,False,,checkerboard,,False,14.943723538,,,2,,True,4,,hybrid,False,,True,20,0.23kHz,False,,4,True,False,,1,False,-i100 -p100 -t1 -d100,16,40,512,route_min_directed_valient,db,True,True,H-hop,True,2,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",,0,False,,True,dor,0:12.77,2,bfs,BroadcastTest,0,0,0,1000000000.0,2020-04-01 21:15:33 -0700,4,False,True,1000000000,True,False,a7956b4a,0,,200,False,100,False,2,,False,1,False,DDR4,,15.1144,,False,Tst,False,4,,47.23247232472325,True,0.472325,True
pirTest,1,5,False,6,False,False,4,True,5,True,True,1,5,route_min_directed_valient,True,2,True,False,True,2,0:04.09,False,True,False,,False,,dfs,True,143,,MyDesign,True,4,02cc5bc3,1,mesh,True,True,6,True,40,1,,20,True,,2,,False,,False,21.10616656071202,5,True,16,6,0,,0,6,2,0,True,0,False,True,32,,False,AccelMain,65536,4,False,True,False,200,,False,,checkerboard,,False,20.294930228,,,1,,True,4,,hybrid,False,,True,20,0.03kHz,False,,4,True,False,,1,False,-i100 -p100 -t1 -d100,16,40,512,route_min_directed_valient,db,True,True,H-hop,True,1,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",,0,False,,True,dor,0:31.19,1,bfs,CountZero_0,0,0,0,1000000000.0,2020-04-01 21:15:33 -0700,4,False,True,1000000000,True,False,a7956b4a,0,,200,False,100,False,2,,False,1,False,DDR4,,1.34266,,False,Tst,False,4,,33.56643356643357,True,0.447552,True
pirTest,1,3,False,6,False,False,4,True,3,True,True,1,1,route_min_directed_valient,True,1,True,False,True,1,,False,True,False,,False,"src//Top.h:71:27: error: wrong number of template arguments (3, should be 4)
",dfs,True,,,MyDesign,True,4,02cc5bc3,1,mesh,True,True,6,,40,1,,20,True,,2,,False,,False,,5,False,16,6,0,,2,6,1,0,False,0,False,True,32,,False,AccelMain,65536,3,False,True,False,200,,False,,checkerboard,,False,23.065738978,,,1,,True,4,,hybrid,False,,True,20,,False,,4,True,False,,1,False,-i100 -p100 -t1 -d100,16,40,512,route_min_directed_valient,db,True,True,H-hop,True,1,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",,0,False,,False,dor,0:11.06,1,bfs,DRAMCompression,0,0,0,1000000000.0,2020-04-01 21:15:33 -0700,4,False,True,1000000000,True,False,a7956b4a,0,,200,False,100,False,1,,False,1,False,DDR4,,,,False,Tst,False,4,,,True,,True
pirTest,1,7,False,6,False,False,4,True,7,True,True,1,0,route_min_directed_valient,True,7,True,False,True,,0:00.31,False,True,False,,False,,dfs,True,930,,MyDesign,True,4,02cc5bc3,2,mesh,True,True,6,True,40,1,,20,True,,2,,False,,False,7.096774193548387,5,True,16,6,0,,0,6,,0,True,0,False,True,32,,False,AccelMain,65536,7,False,True,False,200,,False,,checkerboard,,False,21.656291835,,,2,,True,4,,hybrid,False,,True,20,3.0kHz,False,,4,True,False,,1,False,-i100 -p100 -t1 -d100,16,40,512,route_min_directed_valient,db,True,True,H-hop,True,2,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",,0,False,,True,dor,0:31.01,2,bfs,DRAMDoubleBuffer2_0,0,0,0,1000000000.0,2020-04-01 21:15:33 -0700,4,False,True,1000000000,True,False,a7956b4a,0,,200,False,100,False,,,False,1,False,DDR4,,1.10108,,False,Tst,False,4,,27.526881720430108,True,1.10108,True
pirTest,1,7,False,6,False,False,4,True,7,True,True,1,0,route_min_directed_valient,True,7,True,False,True,,0:00.42,False,True,False,,False,,dfs,True,930,,MyDesign,True,4,02cc5bc3,2,mesh,True,True,6,True,40,1,,20,True,,2,,False,,False,7.096774193548387,5,True,16,6,0,,0,6,,0,True,0,False,True,32,,False,AccelMain,65536,7,False,True,False,200,,False,,checkerboard,,False,17.052352575,,,2,,True,4,,hybrid,False,,True,20,2.21kHz,False,,4,True,False,,1,False,-i100 -p100 -t1 -d100,16,40,512,route_min_directed_valient,db,True,True,H-hop,True,2,False,"--dot=true, --stat=true, --debug=true, --vdot=true, --save=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/home/yaqiz/fluorine/spatial, --fast=true",,0,False,,True,dor,0:20.10,2,bfs,DRAMDoubleBuffer2_1,0,0,0,1000000000.0,2020-04-01 21:15:33 -0700,4,False,True,1000000000,True,False,a7956b4a,0,,200,False,100,False,,,False,1,False,DDR4,,1.10108,,False,Tst,False,4,,27.526881720430108,True,1.10108,True
